usgs_id,ocean_class,dist_to_coast_km
iscgem618698074,continental,32.757
iscgem618690538,oceanic,2186.085
iscgem618688606,transitional,146.171
iscgem618688907,transitional,111.115
iscgem618688608,transitional,111.213
iscgem618688582,oceanic,229.494
iscgem618686261,transitional,57.716
iscgem618684837,continental,40.983
iscgem618683069,transitional,143.203
iscgem618683061,transitional,81.117
iscgem618661568,oceanic,531.833
iscgem618659544,transitional,127.885
iscgem618591141,oceanic,2105.463
iscgem618580105,transitional,123.466
iscgem618580119,transitional,58.323
iscgem618570070,continental,49.839
iscgem618560737,continental,47.385
iscgem618550810,continental,4.57
iscgem618541730,transitional,55.314
iscgem618541714,continental,24.282
iscgem618435309,transitional,80.817
iscgem618415912,transitional,86.02
iscgem618411941,oceanic,393.069
iscgem618367846,oceanic,270.238
iscgem618328691,oceanic,581.139
iscgem618301667,continental,41.041
iscgem618259420,oceanic,750.812
iscgem618453613,transitional,92.222
iscgem618453607,continental,13.778
iscgem618714189,continental,40.553
iscgem618216185,continental,27.041
iscgem618215654,continental,23.182
iscgem618225812,continental,14.924
iscgem618127891,transitional,180.962
iscgem618125081,oceanic,307.725
iscgem618102373,oceanic,986.148
iscgem618099931,continental,35.018
iscgem618037854,continental,29.377
iscgem618037100,transitional,92.381
iscgem617833891,continental,16.913
iscgem617825623,oceanic,816.333
iscgem617818095,oceanic,284.633
iscgem617816385,continental,32.986
iscgem617810298,transitional,59.167
iscgem617799136,continental,21.346
iscgem617796852,transitional,159.477
iscgem617796709,continental,15.004
iscgem617787532,continental,14.818
iscgem617624433,continental,9.388
iscgem618328424,transitional,74.842
iscgem617488870,transitional,193.435
iscgem617480789,continental,45.747
iscgem617410906,transitional,132.05
iscgem617307582,oceanic,521.334
iscgem617497178,transitional,74.465
iscgem621407687,continental,19.555
iscgem617210084,continental,9.146
iscgem617496765,transitional,81.23
iscgem621416257,transitional,94.998
iscgem617204417,continental,13.031
iscgem618124301,transitional,166.118
iscgem617195024,transitional,103.812
iscgem617194930,transitional,61.116
iscgem617194918,oceanic,2078.932
iscgem617194874,continental,27.785
iscgem617152277,transitional,73.578
iscgem617125982,oceanic,220.122
iscgem617125978,oceanic,207.301
iscgem617004066,continental,37.404
iscgem617002333,continental,20.31
iscgem619553316,oceanic,652.127
iscgem617001526,continental,34.933
iscgem617001523,continental,28.343
iscgem616997721,oceanic,1469.787
iscgem616987910,oceanic,309.08
iscgem616967517,continental,45.897
iscgem617199585,oceanic,851.234
iscgem617614780,transitional,165.146
iscgem616935601,transitional,74.92
iscgem616922111,transitional,60.857
iscgem616919407,oceanic,579.835
iscgem616918424,transitional,82.012
iscgem616918402,continental,23.431
iscgem616912190,oceanic,775.309
iscgem616856627,oceanic,490.981
iscgem619792352,continental,8.64
iscgem616781392,continental,25.534
iscgem617435034,continental,17.156
iscgem616781144,continental,24.309
iscgem617000167,continental,29.414
iscgem617000153,oceanic,286.754
iscgem617283002,oceanic,258.975
iscgem616751937,continental,8.695
iscgem616747937,continental,33.219
iscgem616962653,oceanic,371.911
iscgem616746959,continental,20.995
iscgem616742152,oceanic,319.279
iscgem616739626,oceanic,330.114
iscgem616717616,continental,27.614
iscgem616685442,oceanic,846.908
iscgem616636559,oceanic,329.334
iscgem616624515,oceanic,583.928
iscgem616600917,transitional,82.186
iscgem616600879,transitional,138.25
iscgem620994219,transitional,118.338
iscgem616542055,oceanic,266.829
iscgem616504279,transitional,104.853
iscgem616497806,continental,27.127
iscgem616494775,transitional,82.491
iscgem616490953,oceanic,502.566
iscgem619318777,oceanic,232.847
iscgem616252734,continental,24.657
iscgem616744345,transitional,129.46
iscgem616616224,continental,28.585
iscgem616249384,oceanic,263.831
iscgem616616209,continental,17.859
iscgem616616207,transitional,95.172
iscgem616200760,transitional,187.399
iscgem616193491,transitional,123.626
iscgem616616159,transitional,115.066
iscgem616179283,oceanic,485.313
iscgem616091877,continental,10.215
iscgem616069028,continental,26.883
iscgem616067516,transitional,104.735
iscgem616062317,transitional,125.049
